操作码	出现次数	覆盖状态
0	1	已覆盖
1	1	已覆盖
2	2	已覆盖
3	4	已覆盖
4	3	已覆盖
5	63	已覆盖
6	86	已覆盖
7	1	已覆盖
8	83	已覆盖
9	71	已覆盖
10	1	已覆盖
11	212	已覆盖
12	150	已覆盖
13	44	已覆盖
14	1	已覆盖
15	12	已覆盖
16	1	已覆盖
17	61	已覆盖
18	19	已覆盖
19	1	已覆盖
20	5	已覆盖
21	1	已覆盖
22	2	已覆盖
23	1	已覆盖
24	1	已覆盖
25	1	已覆盖
26	1	已覆盖
27	1	已覆盖
28	1	已覆盖
29	1	已覆盖
30	1	已覆盖
31	1	已覆盖
32	1	已覆盖
33	3	已覆盖
34	1	已覆盖
35	6	已覆盖
36	1	已覆盖
37	1	已覆盖
38	7	已覆盖
39	2	已覆盖
40	2	已覆盖
41	1	已覆盖
42	15	已覆盖
43	5	已覆盖
44	12	已覆盖
45	1	已覆盖
46	1	已覆盖
47	1	已覆盖
48	8	已覆盖
49	20	已覆盖
50	65	已覆盖
51	2	已覆盖
52	1	已覆盖
53	4	已覆盖
54	59	已覆盖
55	46	已覆盖
56	12	已覆盖
57	8	已覆盖
58	15	已覆盖
59	1	已覆盖
60	4	已覆盖
61	10	已覆盖
62	7	已覆盖
63	1	已覆盖
64	2	已覆盖
65	1	已覆盖
66	1	已覆盖
67	1	已覆盖
68	3	已覆盖
69	2	已覆盖
70	3	已覆盖
71	1	已覆盖
72	1	已覆盖
73	1	已覆盖
74	1	已覆盖
75	1	已覆盖
76	2	已覆盖
77	4	已覆盖
78	4	已覆盖
79	4	已覆盖
80	1	已覆盖
81	1	已覆盖
82	4	已覆盖
83	2	已覆盖
84	1	已覆盖
85	4	已覆盖
86	1	已覆盖
87	2	已覆盖
88	1	已覆盖
89	1	已覆盖
90	1	已覆盖
91	1	已覆盖
92	3	已覆盖
93	1	已覆盖
94	2	已覆盖
95	1	已覆盖
96	1	已覆盖
97	1	已覆盖
98	1	已覆盖
99	1	已覆盖
100	16	已覆盖
101	8	已覆盖
102	10	已覆盖
103	2	已覆盖
104	1	已覆盖
105	1	已覆盖
