用例名称	字节码SHA256	指令条数	覆盖独立指令数	字节码文件相对路径
01_arithmetic_bitwise	ae973cfc887ba6b9ec6fa6b2adcff697b64c72f4b7cf1305be277f4871d9cf42	49	21	aluka_r\tests\golden\corpus\01_arithmetic_bitwise.bc
02_literals_and_stack	434164176a56d470bab78d63468002067f02efbe41ea113fb99b5c9ae7205a85	27	14	aluka_r\tests\golden\corpus\02_literals_and_stack.bc
03_comparisons	3901e4104ea3f4a7a58ada638ba4becce2f3fa8ed79ea6dba6fcbc2ae670ad58	52	18	aluka_r\tests\golden\corpus\03_comparisons.bc
04_control_flow_jumps	57c3d45e5a114a749bde9d3bd5ad0027257457d14a8aee8e66157dba51f80728	63	25	aluka_r\tests\golden\corpus\04_control_flow_jumps.bc
05_optional_chaining	3712f269b39889ec4cf6a8e8d05578b6ff99fd0c24cf5ef823a200fad6891910	50	15	aluka_r\tests\golden\corpus\05_optional_chaining.bc
06_closures_and_upvalues	d9941155d34dad620ddd0ec512dc4c4f5d6351e839b9d57f8fda1630bc2d2fb9	74	21	aluka_r\tests\golden\corpus\06_closures_and_upvalues.bc
07_objects_and_properties	9a9c073969d934dfbec61a7e1685ac553811a87d7fac488935c7d62a26445e87	54	23	aluka_r\tests\golden\corpus\07_objects_and_properties.bc
08_arrays_and_methods	97a7c4077b10d8d56a33d7cabd82e29ab220fad5a8bd6291db23dd8d835ef235	49	16	aluka_r\tests\golden\corpus\08_arrays_and_methods.bc
09_classes_and_inheritance	db36bb0389b051ec16de213bd008228324c0aac5d53ac6f2af4a283f187c5633	59	20	aluka_r\tests\golden\corpus\09_classes_and_inheritance.bc
10_try_catch_finally	b2a238bda19d916eb2691a2fa1152bba87f3f492dd38443453661509288066f2	53	22	aluka_r\tests\golden\corpus\10_try_catch_finally.bc
11_generators_and_iterators	efbfff9dd740f8a38d39114ce9dc02289a8e51fbcab77defedf9001cbafd21de	52	23	aluka_r\tests\golden\corpus\11_generators_and_iterators.bc
12_for_in_keys	d5fa1b19b2105e09a8d66cc40dc8358d660da1bcc4de00fc27cdd4e216d6dc05	59	22	aluka_r\tests\golden\corpus\12_for_in_keys.bc
13_async_await	9d5f2c8c10b59be802ba8d175769bacfec4ce0152daff06c8327ab063c72f369	25	15	aluka_r\tests\golden\corpus\13_async_await.bc
14_regexp_and_types	bf1edf43ef01411b80abef162a652106441768adeb64866f5afdb47465b1a2c0	31	18	aluka_r\tests\golden\corpus\14_regexp_and_types.bc
15_update_expressions	21c15a8b2ba99372bda938deee71239210e0ddfd731981541cde251eb1761428	41	13	aluka_r\tests\golden\corpus\15_update_expressions.bc
16_destructuring_and_spread	d9545386dac40047b3a49129768cd7a7a8acdbaa9e1d6132504987fecb4152e0	37	16	aluka_r\tests\golden\corpus\16_destructuring_and_spread.bc
17_in_and_instanceof	a3a99076d7426d521e7e3972427b8df445e690b41b96e3827e27e108a1a656de	25	14	aluka_r\tests\golden\corpus\17_in_and_instanceof.bc
18_switch_statement	34c2ecbfa1eca943e9b4a64323143f53c9dc85909ff141eea8446c01f8175629	36	15	aluka_r\tests\golden\corpus\18_switch_statement.bc
19_while_dowhile	1a14b4d4c14a929043a97f8b403b0854e13d8db836da543c7d7b968c1ba01a01	31	15	aluka_r\tests\golden\corpus\19_while_dowhile.bc
20_apply_and_spread_call	1ea3f53a120c97092c47e65521016ee4c62a3d6bf0d3dde6843a97e086b109e9	24	14	aluka_r\tests\golden\corpus\20_apply_and_spread_call.bc
21_template_literals	a18589679d4c8fc4e60599891e0af0c709d8710b4af2bd4744d4119024e2efaa	17	11	aluka_r\tests\golden\corpus\21_template_literals.bc
22_nested_closures	d6f6e7d8ef73c7efe8d9c0548d0091fef437cf136d8c6ea8b9f74b9be5c748dc	25	12	aluka_r\tests\golden\corpus\22_nested_closures.bc
23_computed_getter_setter	eaef176d04025f9efd8cd1129ce679b7f2a50f6525748be34c7361fbd7cecd7a	37	20	aluka_r\tests\golden\corpus\23_computed_getter_setter.bc
24_typeof_global	3faf24c3fba3d1879b473d8d587f3569a25689d8af4d6e65231a9e524f828cf3	7	7	aluka_r\tests\golden\corpus\24_typeof_global.bc
