操作码数值	常量标识符	指令名称	操作数类别数值	操作数类别标识	操作数说明	含操作数	出栈	入栈	净栈变动	纯压栈	跳转	终结	条件栈	动态栈	特殊说明
0	OpNop	NOP	0	OperandNone	OperandNone(无)	false	0	0	+0	false	false	false	false	false	
1	OpPushUndefined	PUSH_UNDEFINED	0	OperandNone	OperandNone(无)	false	0	1	+1	true	false	false	false	false	
2	OpPushNull	PUSH_NULL	0	OperandNone	OperandNone(无)	false	0	1	+1	true	false	false	false	false	
3	OpPushTrue	PUSH_TRUE	0	OperandNone	OperandNone(无)	false	0	1	+1	true	false	false	false	false	
4	OpPushFalse	PUSH_FALSE	0	OperandNone	OperandNone(无)	false	0	1	+1	true	false	false	false	false	
5	OpPushConst	PUSH_CONST	1	OperandConstIdx	OperandConstIdx(常量池索引)	true	0	1	+1	true	false	false	false	false	
6	OpPushInt	PUSH_INT	2	OperandInt	OperandInt(24位整数)	true	0	1	+1	true	false	false	false	false	立即数：24位无符号小整数(0..16777215)
7	OpPushNegInt	PUSH_NEG_INT	2	OperandInt	OperandInt(24位整数)	true	0	1	+1	true	false	false	false	false	立即数：24位负整数，压入 -(A)
8	OpPop	POP	0	OperandNone	OperandNone(无)	false	1	0	-1	false	false	false	false	false	
9	OpDup	DUP	0	OperandNone	OperandNone(无)	false	0	1	+1	false	false	false	false	false	
10	OpSwap	SWAP	0	OperandNone	OperandNone(无)	false	2	2	+0	false	false	false	false	false	
11	OpLoadLocal	LOAD_LOCAL	3	OperandSlot	OperandSlot(局部槽位)	true	0	1	+1	false	false	false	false	false	
12	OpStoreLocal	STORE_LOCAL	3	OperandSlot	OperandSlot(局部槽位)	true	1	0	-1	false	false	false	false	false	
13	OpLoadGlobal	LOAD_GLOBAL	1	OperandConstIdx	OperandConstIdx(常量池索引)	true	0	1	+1	false	false	false	false	false	
14	OpStoreGlobal	STORE_GLOBAL	1	OperandConstIdx	OperandConstIdx(常量池索引)	true	1	0	-1	false	false	false	false	false	
15	OpLoadUpvalue	LOAD_UPVALUE	4	OperandUpvalueIdx	OperandUpvalueIdx(闭包上值索引)	true	0	1	+1	false	false	false	false	false	
16	OpStoreUpvalue	STORE_UPVALUE	4	OperandUpvalueIdx	OperandUpvalueIdx(闭包上值索引)	true	1	0	-1	false	false	false	false	false	
17	OpMakeClosure	MAKE_CLOSURE	5	OperandTemplateIdx	OperandTemplateIdx(模板索引)	true	0	1	+1	false	false	false	false	false	
18	OpAdd	ADD	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
19	OpSub	SUB	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
20	OpMul	MUL	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
21	OpDiv	DIV	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
22	OpMod	MOD	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
23	OpPow	POW	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
24	OpBitAnd	BIT_AND	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
25	OpBitOr	BIT_OR	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
26	OpBitXor	BIT_XOR	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
27	OpShl	SHL	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
28	OpShr	SHR	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
29	OpUShr	USHR	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
30	OpNeg	NEG	0	OperandNone	OperandNone(无)	false	1	1	+0	false	false	false	false	false	
31	OpNot	NOT	0	OperandNone	OperandNone(无)	false	1	1	+0	false	false	false	false	false	
32	OpBitNot	BIT_NOT	0	OperandNone	OperandNone(无)	false	1	1	+0	false	false	false	false	false	
33	OpTypeof	TYPEOF	0	OperandNone	OperandNone(无)	false	1	1	+0	false	false	false	false	false	
34	OpEq	EQ	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
35	OpStrictEq	STRICT_EQ	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
36	OpStrictNe	STRICT_NE	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
37	OpNe	NE	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
38	OpLt	LT	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
39	OpLe	LE	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
40	OpGt	GT	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
41	OpGe	GE	0	OperandNone	OperandNone(无)	false	2	1	-1	false	false	false	false	false	
42	OpJmp	JMP	7	OperandSignedOff	OperandSignedOff(有符号相对跳转偏移)	true	0	0	+0	false	true	false	false	false	相对跳转；跳转目标允许 target == len(code)
43	OpJmpTruePop	JMP_TRUE_POP	7	OperandSignedOff	OperandSignedOff(有符号相对跳转偏移)	true	1	0	-1	false	true	false	false	false	
44	OpJmpFalsePop	JMP_FALSE_POP	7	OperandSignedOff	OperandSignedOff(有符号相对跳转偏移)	true	1	0	-1	false	true	false	false	false	
45	OpJmpTrueKeep	JMP_TRUE_KEEP	7	OperandSignedOff	OperandSignedOff(有符号相对跳转偏移)	true	0	0	动态	false	true	false	true	false	相对跳转；跳转目标允许 target == len(code)
46	OpJmpFalseKeep	JMP_FALSE_KEEP	7	OperandSignedOff	OperandSignedOff(有符号相对跳转偏移)	true	0	0	动态	false	true	false	true	false	相对跳转；跳转目标允许 target == len(code)
47	OpJmpNullishKeep	JMP_NULLISH_KEEP	7	OperandSignedOff	OperandSignedOff(有符号相对跳转偏移)	true	0	0	动态	false	true	false	true	false	相对跳转；跳转目标允许 target == len(code)
48	OpOptionalJump	OPTIONAL_JUMP	7	OperandSignedOff	OperandSignedOff(有符号相对跳转偏移)	true	0	0	动态	false	true	false	true	false	
